Weight(g),Capacity(mAh),Amps
101,1300,32.5
123,1300,52
126,1500,37.5
128,2200,55
130,2200,66
131,1500,52.5
132,1300,32.5
133,1800,45
139,2200,77
179,2200,55
180,2200,55
181,2200,55
187,2700,67.5
207,2700,108
208,3300,99
225,4000,100
