D (in),P (in),Power (W),RPM,Thrust (N),Speed (m/s),Weight,KV,Max Amps
6,4,81,13410,3.26561445,22.709632,0,0,0
6,4,82,13680,3.22638785,23.156672,0,0,0
6,4,83,12870,3.36368095,21.815552,0,0,0
6,4,83,13530,3.4715541,22.888448,0,0,0
6,4,83,13770,3.71672035,23.335488,0,0,0
6,4,83,13950,3.9422733,23.603712,0,0,0
6,4,84,12400,3.01064155,21.01088,0,0,0
6,4,84,13440,3.54020065,22.754336,0,0,0
6,4,84,13440,3.54020065,22.754336,0,0,0
6,4,84,13920,3.6480738,23.559008,0,0,0
6,4,85,13620,3.726527,23.067264,0,0,0
6,4,86,13860,3.73633365,23.4696,0,0,0
6,4,86,13860,3.73633365,23.4696,0,0,0
6,4,86,13890,3.8049802,23.514304,0,0,0
6,4,87,13200,3.3734876,22.352,0,0,0
6,4,87,13740,3.63826715,23.24608,0,0,0
6,4,89,14220,3.92266,24.095456,0,0,0
6,4,90,13860,3.8245935,23.4696,0,0,0
6,4,90,14160,4.0991797,23.961344,0,0,0
6,4,92,14400,4.03053315,24.36368,0,0,0
6,4,93,14010,3.77556025,23.737824,0,0,0
6,4,93,14400,4.118793,24.36368,0,0,0
6,4,94,14160,3.8245935,23.961344,0,0,0
6,4,94,14160,4.08937305,23.961344,0,0,0
6,4,95,14070,3.9618866,23.827232,0,0,0
6,4,95,14370,4.03053315,24.318976,0,0,0
6,4,97,14160,3.93246665,23.961344,0,0,0
6,4,98,14460,4.24627945,24.497792,0,0,0
6,4,99,14160,3.9422733,23.961344,0,0,0
6,4,99,14520,4.14821295,24.5872,0,0,0
6,4,100,14370,4.30511935,24.318976,0,0,0
6,4,100,14970,4.44241245,25.347168,0,0,0
6,4,102,14460,4.1776329,24.497792,0,0,0
6,4,102,14610,4.28550605,24.721312,0,0,0
6,4,103,14400,3.83440015,24.36368,0,0,0
6,4,103,14820,4.3345393,25.078944,0,0,0
6,4,103,14820,4.3345393,25.078944,0,0,0
6,4,104,13710,3.8245935,23.201376,0,0,0
6,4,104,14340,4.10898635,24.274272,0,0,0
6,4,107,14790,3.8049802,25.03424,0,0,0
6,4,109,14610,4.3541526,24.721312,0,0,0
6,4,109,14820,4.2756994,25.078944,0,0,0
6,4,110,14790,4.32473265,25.03424,0,0,0
6,4,110,15120,4.40318585,25.615392,0,0,0
